INFO 2020/04/01 08:27:20 main.go:42: Starting app
2020/04/01 08:27:20 model.go:109: DATABASE_URL variable must look like: postgres://username:password@hostname:port/dbname (not '')
INFO 2020/04/01 08:34:57 main.go:42: Starting app
INFO 2020/04/01 08:34:57 route.go:36: HTTPS routes LoadHTTP
INFO 2020/04/01 08:34:57 route.go:369: middleware felipe
INFO 2020/04/01 08:34:57 route.go:30: HTTPS routes LoadHTTPS
INFO 2020/04/01 08:34:57 route.go:369: middleware felipe
INFO 2020/04/01 08:34:57 server.go:35: 0.0.0.0:4430
2020/04/01 08:35:03 server.go:3056: http: TLS handshake error from 10.0.0.45:57224: remote error: tls: unknown certificate
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /balance/update/208
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/css/bootstrap.css?1580161104
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/css/global.css?1582295166
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/js/jquery.min.js?1580161104
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/js/underscore-min.js?1580161104
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/favicons/jpeg/imp_2_der.jpg
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/js/popper.min.js?1580161104
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/favicons/jpeg/imp_2_cent.jpg
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/favicons/jpeg/imp_2_caset.jpg
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/js/global.js?1580161104
INFO 2020/04/01 08:35:03 logrequest.go:14: 10.0.0.45:57226 GET /static/favicons/jpeg/imp_2_izq.jpg
INFO 2020/04/01 08:35:04 logrequest.go:14: 10.0.0.45:57226 GET /login
INFO 2020/04/01 08:35:12 logrequest.go:14: 10.0.0.45:57226 POST /login
INFO 2020/04/01 08:35:12 logrequest.go:14: 10.0.0.45:57226 GET /
INFO 2020/04/01 08:35:17 logrequest.go:14: 10.0.0.45:57226 GET /cuota/list
INFO 2020/04/01 08:35:35 logrequest.go:14: 10.0.0.45:57226 POST /cuota/list
INFO 2020/04/01 08:35:41 logrequest.go:14: 10.0.0.45:57226 GET /cuota/update/3128
INFO 2020/04/01 08:36:00 logrequest.go:14: 10.0.0.45:57226 GET /cuota/update/3128
